lstm,intra,inter,lr,wd
128,24,8,0.01,1e-06
128,24,4,0.01,1e-05
128,16,8,0.01,1e-06
128,16,4,0.01,1e-05
128,8,8,0.01,1e-06
128,8,4,0.01,1e-05
128,4,8,0.01,1e-06
128,4,4,0.001,1e-06
64,24,8,0.01,1e-05
64,24,4,0.01,1e-06
64,16,8,0.01,1e-05
64,16,4,0.01,1e-06
64,8,8,0.01,1e-05
64,8,4,0.01,1e-06
64,4,8,0.001,1e-06
64,4,4,0.01,1e-06
32,24,8,0.001,1e-05
32,24,4,0.001,1e-05
32,16,8,0.01,1e-06
32,16,4,0.001,1e-05
32,8,8,0.001,1e-06
32,8,4,0.001,1e-06
32,4,8,0.001,1e-06
32,4,4,0.001,1e-06
16,24,8,0.01,1e-06
16,24,4,0.001,1e-05
16,16,8,0.001,1e-06
16,16,4,0.01,1e-05
16,8,8,0.001,1e-05
16,8,4,0.001,1e-06
16,4,8,0.01,1e-06
16,4,4,0.01,1e-05
